Congressional District,Percentage People of Color,Democratic Candidate,Democratic General Electional Margin of Victory ," Democratic Primary Challenger? (1 = YES, 0 = NO)",Primary Election Margin of Victory? (Percentage),"Incumbent? (2 = Democratic incumbent, 1 = Republican incumbent, 0 = NO)"
NY-15,97.3,Jose Serrano,91.97,0,N/A,2
CA-40,95.6,Lucille Roybal-Allard,54.7,0,N/A,2
CA-44,93.2,Nanette Barragán,36.68,1,48.5,2
TX-29,90.3,Sylvia Garcia,51.14,1,42.6,0
NY-05,90.3,Gregory Meeks,N/A,1,72.1,2
CA-34,89.4,Jimmy Gomez,45.08,0,N/A,2
TX-09,89.1,Al Green,85.17,0,N/A,2
FL-24,88.8,Frederica Wilson,N/A,1,67.4,2
CA-51,86.9,Juan Vargas,42.4,0,N/A,2
TX-16,86.4,Veronica Escobar,41.44,1,39.4,0
TX-34,86.2,Filemon Vela,19.98,0,N/A,2
TX-33,85.8,Marc Veasey,54.26,1,41.2,2
CA-35,85.8,Norma Torres,38.8,1,36.4,2
NY-13,85.5,Adriano Espaillat,89.21,0,N/A,2
TX-15,85.1,Vicente González,20.92,0,N/A,2
CA-32,85.1,Grace Napolitano,37.56,0,N/A,2
CA-43,85,Maxine Waters,55.34,0,N/A,2
HI-01,84.6,Ed Case,50.03,1,14.5,0
TX-30,84.3,Eddie Bernice Johnson,82.1,1,40.8,2
TX-28,84,Henry Cuellar,68.78,0,N/A,2
CA-21,83.4,TJ Cox,0.76,0,N/A,1
CA-38,83.3,Linda Sánchez,37.7,0,N/A,2
TX-18,83,Sheila Jackson Lee,54.43,1,72,2
FL-26,82.9,Debbie Mucarsel-Powell,1.75,1,27,1
CA-46,82.6,Lou Correa,38.29,0,N/A,2
FL-20,81.5,Alcee Hastings,99.84,1,47.6,2
NJ-10,81.3,Donald Payne Jr.,77.47,1,83.4,2
FL-25,81.1,Mary Barzee Flores,-20.91,0,N/A,1
CA-29,80.7,Tony Cardenas,61.22,1,58.6,2
AZ-07,80.1,Ruben Gallego,71.44,1,49.6,2
TX-20,78.9,Joaquin Castro,61.71,0,N/A,2
FL-27,78.9,Donna Shalala,6,1,4.4,0
IL-04,78.5,Jesus Garcia,73.17,1,44.3,0
NY-14,77.6,Alexandria Ocasio-Cortez,64.57,1,13.4,2
CA-16,77.5,Jim Costa,15.09,0,N/A,2
TN-09,77,Steve Cohen,60.75,1,83.6,2
CA-17,76.8,Ro Khanna,50.69,1,54.8,2
NY-08,76,Hakeem Jeffries,89.02,0,N/A,2
CA-41,75.8,Mark Takano,30.2,0,N/A,2
GA-04,75.5,Hank Johnson,57.69,1,59.6,2
TX-23,75,Gina Ortiz Jones,-0.44,1,33.6,1
CA-37,74.9,Karen Bass,78.15,0,N/A,2
CA-27,74.7,Judy Chu,58.42,1,67,2
CA-19,74.3,Zoe Lofgren,47.51,0,N/A,2
TX-35,74.3,Lloyd Doggett,45.2,0,N/A,2
MD-04,74,Anthony Brown,58.2,0,N/A,2
GA-13,74,David Scott,52.35,0,N/A,2
NJ-08,73.9,Albio Sires,59.4,0,N/A,2
CA-31,73.8,Pete Aguilar,17.49,1,36.9,2
IL-02,73.1,Robin Kelly,61.46,1,64.2,2
AZ-03,72.8,Raul Grijalva,27.73,0,N/A,2
IL-07,72.7,Danny K. Davis,75.23,1,47.8,2
LA-02,72.2,Cedric Richmond,71.92,0,N/A,2
CA-39,71.7,Gil Cisneros,3.11,1,10.2,0
HI-02,71.4,Tulsi Gabbard,54.72,1,71.2,2
GA-05,71.3,John Lewis,N/A,0,N/A,2
NV-01,71,Dina Titus,35.3,1,57.4,2
PA-02,70.4,Brendan Boyle,58.03,1,29.2,2
CA-47,69.6,Alan Lowenthal,29.71,0,N/A,2
MI-02,69.6,Cort VanOstran,-3.95,1,16.5,1
NY-07,69.3,Nydia Velazquez,87.85,0,N/A,2
NY-09,68.7,Yvette Clarke,79.04,1,6,2
MI-14,68.6,Brenda Lawrence,63.56,0,N/A,2
AL-07,68,Terri Sewell,95.61,0,N/A,2
MD-07,67.1,Elijah Cummings,55.18,1,88.9,2
CA-15,66.7,Eric Swalwell,45.94,0,N/A,2
CA-09,65.8,Jerry McNerney,12.98,0,N/A,2
MI-13,66.3,Rashida Tlaib,72.93,1,1,0
CA-14,65.8,Jackie Speier,58.45,0,N/A,2
CA-13,65.2,Barbara Lee,76.76,0,N/A,2
NY-06,65.2,Grace Meng,81.75,0,N/A,2
SC-06,64.9,James Clyburn,41.89,0,N/A,2
NY-16,64,Eliot Engel,N/A,1,57.5,2
IL-01,63.8,Bobby Rush,53.74,0,N/A,2
NM-02,63.3,Xochitl Torres Small,1.87,1,45.2,1
OH-11,63.2,Marcia Fudge,64.49,0,N/A,2
CA-20,63.1,Jimmy Panetta,62.75,1,76.8,2
CA-06,63,Doris Matsui,60.85,1,75.8,2
FL-10,62.6,Val Demings,N/A,1,50,2
NM-03,62.6,Ben Ray Lujan,32.17,0,N/A,2
PA-01,61.6,Scott Wallace,-2.52,1,21.2,1
CA-22,61.4,Andrew Janz,-5.44,1,26.8,1
NJ-09,61.2,Bill Pascrell,41.4,1,71.4,2
TX-27,60.8,Eric Holguin,-23.71,,,0
NM-01,60.6,Debra Haaland,22.81,1,14.8,0
FL-05,60.4,Alfred Lawson,33.56,1,20.6,2
NC-12,60.3,Alma Adams,46.08,1,79.9,2
CA-53,60.2,Susan Davis,38.15,0,N/A,2
CA-36,60,Raul Ruiz,18.03,0,N/A,2
GA-02,59.9,Sanford Bishop Jr.,19.3,0,N/A,2
TX-22,59.8,Sri Preston Kulkarni,-4.91,1,24.2,1
MA-07,59.4,Ayanna Pressley,96.5,1,17.2,2
MI-01,59.1,Matthew Morgan,-12.63,0,N/A,1
NC-01,58.4,G.K. Butterfield,39.54,0,N/A,2
CA-42,58.3,Julia Peacock,-13,1,17.9,1
VA-03,58.1,Bobby Scott,82.45,0,N/A,2
WI-04,57.5,Gwen Moore,54.04,1,78,2
CA-25,57.5,Katie Hill,8.73,1,2.3,1
FL-09,57.2,Darren Soto,16.04,1,32.8,2
CA-10,57.2,Josh Harder,4.5,1,6.8,1
TX-07,57.1,Lizzie Pannill Fletcher,5.06,1,35.8,1
CA-12,56.8,Nancy Pelosi,73.65,1,60,2
FL-23,56.7,Debbie Wasserman Schultz,22.49,0,N/A,2
CA-26,56.4,Julia Brownley,23.88,1,50.4,2
CA-08,56.2,,,,,
GA-07,55.9,Carolyn Bourdeaux,-0.15,1,4,1
FL-14,55.1,Kathy Castor,N/A,0,N/A,2
MD-05,54.5,Steny Hoyer,43.21,1,68.2,2
CA-11,54.3,Mark DeSaulnier,48.26,1,62.8,2
VA-11,54.3,Gerald Connolly,44.17,0,N/A,2
