"Instructions: for each of the following Facebook image files (column A), complete the following questions using the provided annotation scheme.   ","Check the box corresponding to each question for a 'Yes' response, and leave the box unchecked for a 'No' response.",,,,
Link to annotation scheme,,,,,
,,Appeal to:,,,
Facebook image file name:,Politician present in image?,Black voters:,Hispanic voters:,Asian voters:,LGBTQ+ voters:
facebook_dataset_houses_Aaron Swisher_mobile1_57.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aaron Swisher_time1_5.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aaron Swisher_mobile1_39.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aaron Swisher_time1_35.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aaron Swisher_time1_69.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aaron Swisher_time1_126.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aaron Swisher_mobile1_47.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abby Finkenauer_mobile1_123.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abby Finkenauer_time1_40.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abby Finkenauer_time1_195.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abby Finkenauer_time1_63.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abby Finkenauer_time1_141.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abby Finkenauer_time1_173.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abby Finkenauer_time1_215.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abigail Spanberger_mobile1_507.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abigail Spanberger_time1_1308.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abigail Spanberger_time1_750.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abigail Spanberger_mobile1_570.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abigail Spanberger_time1_1156.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abigail Spanberger_time1_570.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Abigail Spanberger_time1_654.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Schiff_time2_61.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Schiff_time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Schiff_time1_71.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Schiff_time2_51.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Schiff_time2_58.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Schiff_time2_71.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Schiff_time2_55.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Smith_time1_89.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Smith_time2_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Smith_time1_126.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Smith_mobile2_67.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Smith_time1_122.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Smith_time1_158.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adam Smith_time2_4.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adriano Espaillat_mobile1_1650.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adriano Espaillat_time1_342.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adriano Espaillat_mobile1_1347.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adriano Espaillat_time1_322.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adriano Espaillat_time1_233.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adriano Espaillat_mobile1_971.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adriano Espaillat_mobile1_1076.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adrienne Bell_time1_145.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adrienne Bell_time1_98.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adrienne Bell_time1_169.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adrienne Bell_time1_150.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adrienne Bell_time1_84.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adrienne Bell_time1_206.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Adrienne Bell_time1_224.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aftab Pureval_mobile1_24.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aftab Pureval_mobile1_29.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aftab Pureval_mobile1_31.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aftab Pureval_mobile1_64.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aftab Pureval_mobile1_23.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aftab Pureval_mobile1_30.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aftab Pureval_mobile1_65.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aja Brown_mobile1_179.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aja Brown_mobile1_201.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aja Brown_time1_100.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aja Brown_time1_96.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aja Brown_mobile1_58.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Aja Brown_mobile1_45.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
